year,us_equity,eu_equity,us_bond
1985,0.3174,0.2815,0.2571
1986,0.1857,0.1925,0.2418
1987,0.0580,0.2327,-0.0271
1988,0.1654,0.0568,0.0967
1989,0.3149,0.0826,0.1744
1990,-0.0310,0.3950,0.0652
1991,0.3046,-0.0868,0.1983
1992,0.0767,0.1991,0.0871
1993,0.0999,0.1761,0.1685
1994,0.0133,0.2357,-0.0787
1995,0.3413,-0.0790,0.1865
1996,0.2026,0.2363,0.0196
1997,0.3101,0.1447,0.1574
1998,0.2667,0.1528,0.1292
1999,0.1985,0.1688,-0.0849
2000,-0.1014,0.2027,0.1666
2001,-0.1304,-0.0803,0.0554
2002,-0.2337,-0.1367,0.1512
2003,0.2638,-0.2190,0.0844
2004,0.0899,0.1736,0.0703
2005,0.0300,0.1098,0.0230
2006,0.1362,0.2035,0.0115
2007,0.0353,0.1782,0.0957
2008,-0.3849,-0.2830,0.2010
2009,0.2349,0.2736,-0.1112
2010,0.1278,0.1236,0.0886
2011,0.0000,0.0032,0.1578
2012,0.1341,-0.0252,0.0697
2013,0.2960,0.0958,-0.1302
2014,0.1174,0.1846,0.1057
2015,0.0121,0.0084,0.0124
2016,0.0954,-0.0103,0.0354
2017,0.1942,0.1568,0.0281
2018,-0.0624,-0.0675,0.0039
2019,0.2888,0.1713,0.1075
2020,0.1626,-0.1081,0.1357
2021,0.2655,0.1764,-0.0283
2022,-0.1995,0.0408,-0.1613
2023,0.2354,0.0764,0.0530
2024,0.2488,0.1207,0.0185
2025,0.1744,0.2559,0.0425
