year,div_yield
1985,0.0400
1986,0.0400
1987,0.0380
1988,0.0360
1989,0.0340
1990,0.0330
1991,0.0320
1992,0.0310
1993,0.0300
1994,0.0290
1995,0.0280
1996,0.0270
1997,0.0260
1998,0.0250
1999,0.0240
2000,0.0209
2001,0.0245
2002,0.0308
2003,0.0350
2004,0.0325
2005,0.0315
2006,0.0316
2007,0.0305
2008,0.0425
2009,0.0431
2010,0.0333
2011,0.0331
2012,0.0367
2013,0.0353
2014,0.0352
2015,0.0365
2016,0.0398
2017,0.0371
2018,0.0406
2019,0.0449
2020,0.0412
2021,0.0318
2022,0.0372
2023,0.0373
2024,0.0365
2025,0.0336
