year,price_return
1985,0.2322
1986,0.1466
1987,0.1876
1988,0.0201
1989,0.0470
1990,0.3504
1991,-0.1151
1992,0.1630
1993,0.1418
1994,0.2009
1995,-0.1041
1996,0.2038
1997,0.1157
1998,0.1247
1999,0.1414
2000,0.1781
2001,-0.1023
2002,-0.1625
2003,-0.2454
2004,0.1367
2005,0.0759
2006,0.1666
2007,0.1433
2008,-0.3122
2009,0.2210
2010,0.0874
2011,-0.0289
2012,-0.0597
2013,0.0584
2014,0.1443
2015,-0.0271
2016,-0.0482
2017,0.1154
2018,-0.1039
2019,0.1210
2020,-0.1434
2021,0.1401
2022,0.0035
2023,0.0377
2024,0.0812
2025,0.2151
