year,r
1956,-0.003000
1957,0.047100
1958,-0.017700
1959,-0.005500
1960,0.060000
1961,0.076600
1962,0.037500
1963,0.048300
1964,0.057800
1965,0.025400
1966,0.023400
1967,0.015200
1968,0.015100
1969,-0.003700
1970,0.153400
1971,0.123000
1972,0.024800
1973,0.031300
1974,-0.003600
1975,0.039400
1976,0.156300
1977,0.080400
1978,0.026700
1979,-0.013600
1980,-0.009800
1981,-0.014800
1982,0.384640
1983,0.106890
1984,0.126425
1985,0.252600
1986,0.170980
1987,-0.015260
1988,0.101535
1989,0.138726
1990,0.048653
1991,0.231434
1992,0.122780
1993,0.160381
1994,-0.099083
1995,0.217737
1996,0.132518
1997,0.114760
1998,0.112190
1999,-0.040010
2000,0.113053
2001,0.053579
2002,0.084949
2003,0.066367
2004,0.075890
2005,0.062768
2006,0.045638
2007,0.036200
2008,0.115063
2009,-0.003476
2010,0.048962
2011,0.116941
2012,0.035607
2013,-0.045713
2014,0.084247
2015,0.045986
2016,-0.004478
2017,0.004492
2018,0.009168
2019,0.052317
2020,0.077193
2021,-0.043024
2022,-0.089905
2023,0.008925
2024,0.037432
2025,0.015787
2026,0.031610
