year,r
1957,-0.235163
1958,0.267547
1959,0.013456
1960,-0.018646
1961,0.286577
1962,-0.102533
1963,0.117204
1964,0.214626
1965,0.032348
1966,-0.103990
1967,0.138934
1968,0.182028
1969,-0.040560
1970,-0.070830
1971,0.045381
1972,0.238294
1973,-0.031633
1974,-0.296654
1975,0.141390
1976,0.060805
1977,0.047522
1978,0.235383
1979,0.385157
1980,0.251234
1981,-0.138608
1982,0.001965
1983,0.303497
1984,-0.059561
1985,0.208417
1986,0.057085
1987,0.030614
1988,0.072765
1989,0.171033
1990,-0.179604
1991,0.078470
1992,-0.046100
1993,0.289810
1994,-0.024950
1995,0.118646
1996,0.257448
1997,0.130320
1998,-0.031868
1999,0.297229
2000,0.071586
2001,-0.162978
2002,-0.124756
2003,0.218826
2004,0.135007
2005,0.221285
2006,0.150650
2007,0.064825
2008,-0.381361
2009,0.370826
2010,0.145707
2011,-0.106748
2012,0.036341
2013,0.085991
2014,0.074822
2015,-0.085173
2016,0.162131
2017,0.054946
2018,-0.100992
2019,0.176923
2020,0.029081
2021,0.194793
2022,-0.057654
2023,0.044661
2024,0.219078
2025,0.255659
2026,0.104301
