year,r
1957,0.045000
1958,0.203000
1959,0.038000
1960,0.062000
1961,0.076000
1962,0.053000
1963,0.068000
1964,0.032000
1965,-0.027000
1966,0.077000
1967,0.140000
1968,0.103000
1969,-0.028000
1970,0.034000
1971,0.103000
1972,0.030000
1973,0.016000
1974,0.075000
1975,0.197000
1976,0.162000
1977,0.165000
1978,0.019000
1979,-0.017000
1980,0.016000
1981,0.025000
1982,0.223000
1983,0.044000
1984,0.168000
1985,0.114000
1986,0.094000
1987,0.041000
1988,0.065000
1989,-0.005000
1990,-0.019150
1991,0.132725
1992,0.144600
1993,0.177500
1994,-0.055867
1995,0.171645
1996,0.080679
1997,0.090284
1998,0.155744
1999,-0.051253
2000,0.069473
2001,0.059730
2002,0.075382
2003,0.046471
2004,0.092718
2005,0.052729
2006,0.003073
2007,0.007230
2008,0.123118
2009,0.024137
2010,0.047047
2011,0.098248
2012,0.063251
2013,-0.021892
2014,0.102596
2015,0.008931
2016,0.026007
2017,-0.000627
2018,0.010653
2019,0.035926
2020,0.019339
2021,-0.022580
2022,-0.176710
2023,0.019672
2024,0.015646
2025,-0.022684
2026,0.017237
