year,r
1990,-0.010180
1991,0.115990
1992,0.118160
1993,0.150120
1994,-0.047590
1995,0.156070
1996,0.056850
1997,0.072030
1998,0.050960
1999,-0.004650
2000,0.027680
2001,0.036540
2002,0.038470
2003,-0.015100
2004,0.008610
2005,0.007600
2006,0.003890
2007,0.024780
2008,0.037100
2009,0.008080
2010,0.022450
2011,0.022670
2012,0.023010
2013,0.014320
2014,0.031940
2015,0.007500
2016,0.018800
2017,0.000050
2018,0.004300
2019,0.000950
2020,-0.003400
2021,-0.003300
2022,-0.023100
2023,-0.010600
2024,-0.026700
2025,-0.057000
2026,-0.020700
