year,r
1960,0.415582
1961,0.009193
1962,0.085977
1963,-0.139596
1964,-0.014149
1965,0.124841
1966,0.022913
1967,-0.089294
1968,0.333040
1969,0.308881
1970,-0.133657
1971,0.274487
1972,0.986133
1973,-0.193956
1974,-0.067381
1975,0.119930
1976,0.154981
1977,-0.006002
1978,0.232271
1979,0.014611
1980,0.080031
1981,0.155919
1982,0.030012
1983,0.209813
1984,0.260012
1985,0.160646
1986,0.505825
1987,0.176818
1988,0.259492
1989,0.241920
1990,-0.389971
1991,-0.029168
1992,-0.219327
1993,0.091332
1994,0.057913
1995,0.008936
1996,-0.023246
1997,-0.199628
1998,-0.079778
1999,0.478026
2000,-0.183656
2001,-0.238274
2002,-0.169240
2003,0.196281
2004,0.099459
2005,0.449120
2006,0.021138
2007,-0.084894
2008,-0.449294
2009,0.077461
2010,0.001387
2011,-0.182212
2012,0.113441
2013,0.541986
2014,0.122933
2015,0.098422
2016,-0.017254
2017,0.187689
2018,-0.138632
2019,0.106303
2020,0.033245
2021,0.109936
2022,-0.021713
2023,0.213722
2024,0.168240
2025,0.235392
2026,0.169472
