year,r
1961,0.056100
1962,0.140200
1963,0.044400
1964,-0.027400
1965,0.049100
1966,0.063100
1967,0.018700
1968,0.024100
1969,0.017100
1970,0.087700
1971,0.218100
1972,-0.088000
1973,-0.136000
1974,-0.131200
1975,0.355700
1976,0.023700
1977,0.464600
1978,-0.062400
1979,-0.001800
1980,0.237000
1981,-0.017600
1982,0.469400
1983,0.172500
1984,0.100700
1985,0.115000
1986,0.093800
1987,0.204300
1988,0.060600
1989,0.072000
1990,0.086000
1991,0.191000
1992,0.190400
1993,0.215829
1994,-0.086674
1995,0.162030
1996,0.069396
1997,0.159555
1998,0.193687
1999,-0.015830
2000,0.087294
2001,0.050448
2002,0.071916
2003,0.022432
2004,0.074468
2005,0.067226
2006,0.014123
2007,0.041001
2008,0.121830
2009,0.017807
2010,0.058282
2011,0.135988
2012,0.045355
2013,-0.058470
2014,0.100655
2015,0.019658
2016,0.053520
2017,0.025221
2018,0.010373
2019,0.046844
2020,0.043896
2021,-0.032833
2022,-0.178105
2023,0.009766
2024,-0.001439
2025,0.040978
2026,0.012696
