year,r
1985,0.281488
1986,0.192464
1987,0.232729
1988,0.056824
1989,0.082598
1990,0.394963
1991,-0.086783
1992,0.199053
1993,0.176054
1994,0.235726
1995,-0.079015
1996,0.236303
1997,0.144708
1998,0.152817
1999,0.168794
2000,0.202722
2001,-0.080306
2002,-0.136705
2003,-0.218989
2004,0.173643
2005,0.109791
2006,0.203465
2007,0.178171
2008,-0.282969
2009,0.273625
2010,0.123610
2011,0.003243
2012,-0.025191
2013,0.095762
2014,0.184579
2015,0.008411
2016,-0.010318
2017,0.156781
2018,-0.067518
2019,0.171333
2020,-0.108108
2021,0.176355
2022,0.040830
2023,0.076406
2024,0.120664
2025,0.255927
