year,r
1985,0.257100
1986,0.241800
1987,-0.027100
1988,0.096700
1989,0.174400
1990,0.065200
1991,0.198300
1992,0.087100
1993,0.168500
1994,-0.078700
1995,0.186500
1996,0.019600
1997,0.157400
1998,0.129200
1999,-0.084900
2000,0.166600
2001,0.055400
2002,0.151200
2003,0.084400
2004,0.070300
2005,0.023000
2006,0.011500
2007,0.095700
2008,0.201000
2009,-0.111200
2010,0.088600
2011,0.157800
2012,0.069700
2013,-0.130200
2014,0.105700
2015,0.012400
2016,0.035400
2017,0.028100
2018,0.003900
2019,0.107500
2020,0.135700
2021,-0.028300
2022,-0.161300
2023,0.053000
2024,0.018500
2025,0.042500
