year,r
1985,0.317400
1986,0.185700
1987,0.058000
1988,0.165400
1989,0.314900
1990,-0.031000
1991,0.304600
1992,0.076700
1993,0.099900
1994,0.013300
1995,0.341300
1996,0.202600
1997,0.310100
1998,0.266700
1999,0.198500
2000,-0.101400
2001,-0.130400
2002,-0.233700
2003,0.263800
2004,0.089900
2005,0.030000
2006,0.136200
2007,0.035300
2008,-0.384900
2009,0.234900
2010,0.127800
2011,0.000000
2012,0.134100
2013,0.296000
2014,0.117400
2015,0.012100
2016,0.095400
2017,0.194200
2018,-0.062400
2019,0.288800
2020,0.162600
2021,0.265500
2022,-0.199500
2023,0.235400
2024,0.248800
2025,0.174400
