date,r_equity,r_short,r_bond
1985-12-31,0.299444,0.242100,0.257100
1986-12-31,0.189082,0.226800,0.241800
1987-12-31,0.145364,-0.042100,-0.027100
1988-12-31,0.111112,0.081700,0.096700
1989-12-31,0.198749,0.159400,0.174400
1990-12-31,0.181982,0.050200,0.065200
1991-12-31,0.108908,0.183300,0.198300
1992-12-31,0.137876,0.072100,0.087100
1993-12-31,0.137977,0.153500,0.168500
1994-12-31,0.124513,-0.050000,-0.078700
1995-12-31,0.131143,0.171500,0.186500
1996-12-31,0.219451,0.004600,0.019600
1997-12-31,0.227404,0.142400,0.157400
1998-12-31,0.209759,0.114200,0.129200
1999-12-31,0.183647,-0.050000,-0.084900
2000-12-31,0.050661,0.151600,0.166600
2001-12-31,-0.105353,0.040400,0.055400
2002-12-31,-0.185203,0.136200,0.151200
2003-12-31,0.022405,0.069400,0.084400
2004-12-31,0.131771,0.055300,0.070300
2005-12-31,0.069895,0.008000,0.023000
2006-12-31,0.169832,-0.003500,0.011500
2007-12-31,0.106735,0.080700,0.095700
2008-12-31,-0.333934,0.186000,0.201000
2009-12-31,0.254263,-0.050000,-0.111200
2010-12-31,0.125705,0.073600,0.088600
2011-12-31,0.001622,0.142800,0.157800
2012-12-31,0.054455,0.054700,0.069700
2013-12-31,0.195881,-0.050000,-0.130200
2014-12-31,0.150990,0.090700,0.105700
2015-12-31,0.010255,-0.002600,0.012400
2016-12-31,0.042541,0.020400,0.035400
2017-12-31,0.175491,0.013100,0.028100
2018-12-31,-0.064959,-0.011100,0.003900
2019-12-31,0.230066,0.092500,0.107500
2020-12-31,0.027246,0.120700,0.135700
2021-12-31,0.220928,-0.043300,-0.028300
2022-12-31,-0.079335,-0.050000,-0.161300
2023-12-31,0.155903,0.038000,0.053000
2024-12-31,0.184732,0.003500,0.018500
2025-12-31,0.215164,0.027500,0.042500
